Report,Importer,Exporter,Timeframe,Current Year Week Ending,Period,Volume LBS,Data Year
Global,EU,Sri Lanka,Quarterly,2024,1,29,2024
Global,EU,Vietnam,Quarterly,2024,1,18,2024
Global,EU,Thailand,Quarterly,2024,1,18,2024
Global,EU,Cote d Ivoire,Quarterly,2024,1,13,2024
Global,EU,Algeria,Quarterly,2024,1,7,2024
Global,EU,United Arab Emirates,Quarterly,2024,1,4,2024
Global,EU,Nigeria,Quarterly,2024,1,4,2024
Global,EU,United States,Quarterly,2024,1,2,2024
Global,EU,China,Quarterly,2024,1,2,2024
Global,Hong Kong,Peru,Quarterly,2024,1,6482900,2024
Global,Hong Kong,Australia,Quarterly,2024,1,4760576,2024
Global,Hong Kong,Chile,Quarterly,2024,1,842528,2024
Global,Hong Kong,Mexico,Quarterly,2024,1,403069,2024
Global,Hong Kong,New Zealand,Quarterly,2024,1,57833,2024
Global,Hong Kong,Indonesia,Quarterly,2024,1,31008,2024
Global,Hong Kong,Turkey,Quarterly,2024,1,7992,2024
Global,Hong Kong,United States,Quarterly,2024,1,7522,2024
Global,Hong Kong,United Kingdom,Quarterly,2024,1,2687,2024
Global,Hong Kong,Philippines,Quarterly,2024,1,2328,2024
Global,Hong Kong,Japan,Quarterly,2024,1,551,2024
Global,Hong Kong,Netherlands,Quarterly,2024,1,529,2024
Global,Hong Kong,France,Quarterly,2024,1,496,2024
Global,Hong Kong,Colombia,Quarterly,2024,1,110,2024
Global,Hong Kong,Spain,Quarterly,2024,1,77,2024
Global,Hong Kong,Morocco,Quarterly,2024,1,62,2024
Global,Hong Kong,Tanzania,Quarterly,2024,1,9,2024
Global,Japan,Mexico,Quarterly,2024,1,26071953,2024
Global,Japan,Australia,Quarterly,2024,1,468985,2024
Global,Japan,United States,Quarterly,2024,1,3862,2024
Global,United States,Mexico,Quarterly,2024,1,759544689,2024
Global,United States,Dominican Republic,Quarterly,2024,1,27627182,2024
Global,United States,Colombia,Quarterly,2024,1,7042959,2024
Global,United States,Peru,Quarterly,2024,1,580919,2024
Global,United States,Chile,Quarterly,2024,1,47040,2024
Global,Canada,Mexico,Quarterly,2024,2,57652078,2024
Global,Canada,Peru,Quarterly,2024,2,2510574,2024
Global,Canada,Colombia,Quarterly,2024,2,1312392,2024
Global,Canada,United States,Quarterly,2024,2,651162,2024
Global,Canada,Dominican Republic,Quarterly,2024,2,304923,2024
Global,Canada,Brazil,Quarterly,2024,2,274667,2024
Global,Canada,Kenya,Quarterly,2024,2,94815,2024
Global,Canada,Canada,Quarterly,2024,2,61343,2024
Global,Canada,Costa Rica,Quarterly,2024,2,3999,2024
Global,Canada,Jamaica,Quarterly,2024,2,1680,2024
Global,Canada,Uganda,Quarterly,2024,2,849,2024
Global,Canada,Taiwan,Quarterly,2024,2,750,2024
Global,Canada,Somalia,Quarterly,2024,2,655,2024
Global,Canada,Cameroon,Quarterly,2024,2,309,2024
Global,Canada,Mali,Quarterly,2024,2,55,2024
Global,Canada,Spain,Quarterly,2024,2,22,2024
Global,Canada,South Africa,Quarterly,2024,2,22,2024
Global,Canada,Guinea,Quarterly,2024,2,22,2024
Global,Canada,Israel,Quarterly,2024,2,13,2024
Global,Canada,India,Quarterly,2024,2,2,2024
Global,Chile,Peru,Quarterly,2024,2,68741366,2024
Global,Chile,Colombia,Quarterly,2024,2,52910,2024
Global,Chile,Mexico,Quarterly,2024,2,34066,2024
Global,China,Peru,Quarterly,2024,2,33490098,2024
Global,China,Kenya,Quarterly,2024,2,1219818,2024
Global,China,Chile,Quarterly,2024,2,151959,2024
Global,China,Mexico,Quarterly,2024,2,48960,2024
Global,China,Philippines,Quarterly,2024,2,26596,2024
Global,China,United States,Quarterly,2024,2,3999,2024
Global,EU,Peru,Quarterly,2024,2,279543564,2024
Global,EU,South Africa,Quarterly,2024,2,70473338,2024
Global,EU,Kenya,Quarterly,2024,2,65930603,2024
Global,EU,Brazil,Quarterly,2024,2,25834053,2024
Global,EU,Colombia,Quarterly,2024,2,24059683,2024
Global,EU,Israel,Quarterly,2024,2,20262444,2024
Global,EU,Tanzania,Quarterly,2024,2,12613011,2024
Global,EU,Zimbabwe,Quarterly,2024,2,3545575,2024
Global,EU,Mozambique,Quarterly,2024,2,3283152,2024
Global,EU,Dominican Republic,Quarterly,2024,2,701998,2024
Global,EU,United Kingdom,Quarterly,2024,2,568584,2024
Global,EU,Ecuador,Quarterly,2024,2,494931,2024
Global,EU,Chile,Quarterly,2024,2,416802,2024
Global,EU,Uganda,Quarterly,2024,2,191214,2024
Global,EU,Lebanon,Quarterly,2024,2,180843,2024
Global,EU,Mexico,Quarterly,2024,2,103080,2024
Global,EU,Vietnam,Quarterly,2024,2,57555,2024
Global,EU,Egypt,Quarterly,2024,2,46561,2024
Global,EU,Eswatini,Quarterly,2024,2,44445,2024
Global,EU,Rwanda,Quarterly,2024,2,33470,2024
Global,EU,Morocco,Quarterly,2024,2,30884,2024
Global,EU,Cameroon,Quarterly,2024,2,29767,2024
Global,EU,Angola,Quarterly,2024,2,19054,2024
Global,EU,Burundi,Quarterly,2024,2,8292,2024
Global,EU,Saudi Arabia,Quarterly,2024,2,4663,2024
Global,EU,Ethiopia,Quarterly,2024,2,1102,2024
Global,EU,TÃ¼rkiye/Turkey,Quarterly,2024,2,1074,2024
Global,EU,Macau,Quarterly,2024,2,992,2024
Global,EU,Togo,Quarterly,2024,2,924,2024
Global,EU,Dominica,Quarterly,2024,2,754,2024
Global,EU,Ghana,Quarterly,2024,2,701,2024
Global,EU,Switzerland,Quarterly,2024,2,265,2024
Global,EU,Madagascar,Quarterly,2024,2,84,2024
Global,EU,China,Quarterly,2024,2,75,2024
Global,EU,Cote d Ivoire,Quarterly,2024,2,26,2024
Global,EU,New Zealand,Quarterly,2024,2,15,2024
Global,EU,Thailand,Quarterly,2024,2,11,2024
Global,EU,India,Quarterly,2024,2,11,2024
Global,Hong Kong,Peru,Quarterly,2024,2,8311808,2024
Global,Hong Kong,Australia,Quarterly,2024,2,6308640,2024
Global,Hong Kong,Kenya,Quarterly,2024,2,624345,2024
Global,Hong Kong,United States,Quarterly,2024,2,58786,2024
Global,Hong Kong,Philippines,Quarterly,2024,2,30053,2024
Global,Hong Kong,Indonesia,Quarterly,2024,2,20624,2024
Global,Hong Kong,Chile,Quarterly,2024,2,8223,2024
Global,Hong Kong,Netherlands,Quarterly,2024,2,3307,2024
Global,Hong Kong,Mexico,Quarterly,2024,2,2866,2024
Global,Hong Kong,United Kingdom,Quarterly,2024,2,2714,2024
Global,Hong Kong,Italy,Quarterly,2024,2,1720,2024
Global,Hong Kong,Japan,Quarterly,2024,2,664,2024
Global,Hong Kong,Spain,Quarterly,2024,2,106,2024
Global,Hong Kong,New Zealand,Quarterly,2024,2,97,2024
Global,Hong Kong,South Africa,Quarterly,2024,2,95,2024
Global,Hong Kong,France,Quarterly,2024,2,18,2024
Global,Hong Kong,Colombia,Quarterly,2024,2,9,2024
Global,Japan,Mexico,Quarterly,2024,2,14997085,2024
Global,Japan,Peru,Quarterly,2024,2,9766811,2024
Global,Japan,United States,Quarterly,2024,2,497836,2024
Global,United States,Mexico,Quarterly,2024,2,483754899,2024
Global,United States,Peru,Quarterly,2024,2,52539827,2024
Global,United States,Colombia,Quarterly,2024,2,35678759,2024
Global,United States,Dominican Republic,Quarterly,2024,2,22448993,2024
Global,Canada,Mexico,Quarterly,2024,3,48257060,2024
Global,Canada,Peru,Quarterly,2024,3,7211150,2024
Global,Canada,United States,Quarterly,2024,3,1199380,2024
Global,Canada,New Zealand,Quarterly,2024,3,1063058,2024
Global,Canada,Colombia,Quarterly,2024,3,788907,2024
Global,Canada,Dominican Republic,Quarterly,2024,3,370498,2024
Global,Canada,Brazil,Quarterly,2024,3,36211,2024
Global,Canada,Jamaica,Quarterly,2024,3,22048,2024
Global,Canada,Dominica,Quarterly,2024,3,4533,2024
Global,Canada,St. Lucia,Quarterly,2024,3,3419,2024
Global,Canada,Uganda,Quarterly,2024,3,626,2024
Global,Canada,Vietnam,Quarterly,2024,3,71,2024
Global,Canada,Ecuador,Quarterly,2024,3,44,2024
Global,Canada,Israel,Quarterly,2024,3,24,2024
Global,Canada,Mali,Quarterly,2024,3,22,2024
Global,Canada,Cote d Ivoire,Quarterly,2024,3,18,2024
Global,Chile,Peru,Quarterly,2024,3,42193427,2024
Global,Chile,Argentina,Quarterly,2024,3,93122,2024
Global,Chile,Brazil,Quarterly,2024,3,46824,2024
Global,Chile,Colombia,Quarterly,2024,3,8,2024
Global,China,Peru,Quarterly,2024,3,25525080,2024
Global,China,Kenya,Quarterly,2024,3,2051987,2024
Global,China,New Zealand,Quarterly,2024,3,882219,2024
Global,China,Chile,Quarterly,2024,3,857726,2024
Global,China,Philippines,Quarterly,2024,3,3053,2024
Global,EU,Peru,Quarterly,2024,3,324105954,2024
Global,EU,Kenya,Quarterly,2024,3,65596405,2024
Global,EU,South Africa,Quarterly,2024,3,44015610,2024
Global,EU,Colombia,Quarterly,2024,3,29706616,2024
Global,EU,Israel,Quarterly,2024,3,7834787,2024
Global,EU,Tanzania,Quarterly,2024,3,7317760,2024
Global,EU,Chile,Quarterly,2024,3,6553112,2024
Global,EU,Zimbabwe,Quarterly,2024,3,2750501,2024
Global,EU,Dominican Republic,Quarterly,2024,3,2295244,2024
Global,EU,Brazil,Quarterly,2024,3,1770369,2024
Global,EU,Morocco,Quarterly,2024,3,1649940,2024
Global,EU,Mexico,Quarterly,2024,3,1616554,2024
Global,EU,United Kingdom,Quarterly,2024,3,581322,2024
Global,EU,Eswatini,Quarterly,2024,3,400003,2024
Global,EU,Guatemala,Quarterly,2024,3,313088,2024
Global,EU,Uganda,Quarterly,2024,3,205134,2024
Global,EU,Ecuador,Quarterly,2024,3,64555,2024
Global,EU,Türkiye/Turkey,Quarterly,2024,3,35706,2024
Global,EU,Dominica,Quarterly,2024,3,27963,2024
Global,EU,Burundi,Quarterly,2024,3,16552,2024
Global,EU,Switzerland,Quarterly,2024,3,14824,2024
Global,EU,Cameroon,Quarterly,2024,3,6647,2024
Global,EU,Vietnam,Quarterly,2024,3,4568,2024
Global,EU,Angola,Quarterly,2024,3,1889,2024
Global,EU,Ghana,Quarterly,2024,3,1166,2024
Global,EU,Thailand,Quarterly,2024,3,384,2024
Global,EU,Togo,Quarterly,2024,3,220,2024
Global,EU,Guinea,Quarterly,2024,3,181,2024
Global,EU,India,Quarterly,2024,3,163,2024
Global,EU,Burkina Faso,Quarterly,2024,3,117,2024
Global,EU,Rwanda,Quarterly,2024,3,88,2024
Global,EU,China,Quarterly,2024,3,77,2024
Global,EU,Sri Lanka,Quarterly,2024,3,44,2024
Global,EU,Cuba,Quarterly,2024,3,40,2024
Global,Hong Kong,Peru,Quarterly,2024,3,6894891,2024
Global,Hong Kong,Australia,Quarterly,2024,3,3304568,2024
Global,Hong Kong,New Zealand,Quarterly,2024,3,2283595,2024
Global,Hong Kong,Chile,Quarterly,2024,3,1477847,2024
Global,Hong Kong,Kenya,Quarterly,2024,3,480559,2024
Global,Hong Kong,Philippines,Quarterly,2024,3,71667,2024
Global,Hong Kong,South Africa,Quarterly,2024,3,60904,2024
Global,Hong Kong,Tanzania,Quarterly,2024,3,50706,2024
Global,Hong Kong,Vietnam,Quarterly,2024,3,22416,2024
Global,Hong Kong,United States,Quarterly,2024,3,21010,2024
Global,Hong Kong,Indonesia,Quarterly,2024,3,19797,2024
Global,Hong Kong,United Kingdom,Quarterly,2024,3,3236,2024
Global,Hong Kong,Japan,Quarterly,2024,3,441,2024
Global,Japan,Peru,Quarterly,2024,3,13164093,2024
Global,Japan,Mexico,Quarterly,2024,3,10627506,2024
Global,Japan,New Zealand,Quarterly,2024,3,577932,2024
Global,Japan,South Africa,Quarterly,2024,3,47282,2024
Global,Japan,Australia,Quarterly,2024,3,6019,2024
Global,Japan,United States,Quarterly,2024,3,3496,2024
Global,United States,Mexico,Quarterly,2024,3,459066790,2024
Global,United States,Peru,Quarterly,2024,3,92126585,2024
Global,United States,Colombia,Quarterly,2024,3,19219466,2024
Global,United States,Dominican Republic,Quarterly,2024,3,15543359,2024
Global,United States,Chile,Quarterly,2024,3,5792313,2024
Global,United States,New Zealand,Quarterly,2024,3,5432,2024
